district,longname,shortname,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct
1,District 1,D1,769221,72.15,13.55,6.69
2,District 2,D2,769221,75.46,13.32,6.21
3,District 3,D3,769221,66.76,16.08,10.45
4,District 4,D4,769221,71.32,10.79,9.27
5,District 5,D5,769221,42.86,43.73,9.04
6,District 6,D6,769221,74.87,9.69,11.03
7,District 7,D7,769221,56.71,12.17,23.77
8,District 8,D8,769221,74.35,9.82,10.41
9,District 9,D9,769221,30.55,12.72,51.89
10,District 10,D10,769221,40.0,28.58,23.29
11,District 11,D11,769221,76.76,8.58,10.5
12,District 12,D12,769221,74.34,6.55,14.04
13,District 13,D13,769221,74.09,10.72,9.05
14,District 14,D14,769220,55.9,11.13,26.93
15,District 15,D15,769221,46.71,21.98,24.65
16,District 16,D16,769221,74.68,7.23,13.73
17,District 17,D17,769221,71.06,9.02,16.71
18,District 18,D18,769221,69.11,11.88,14.7
19,District 19,D19,769221,76.89,4.41,15.1
20,District 20,D20,769221,23.28,51.29,22.5
21,District 21,D21,769221,58.8,13.79,22.85
22,District 22,D22,769221,56.8,13.1,22.43
23,District 23,D23,769221,32.81,18.49,42.55
24,District 24,D24,769221,18.83,42.14,37.69
25,District 25,D25,769221,15.28,7.92,76.89
26,District 26,D26,769221,15.23,10.32,73.35
27,District 27,D27,769221,16.88,7.07,74.18
28,District 28,D28,769221,58.31,14.82,23.29
